name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
2MASS J01225093-2439505 b,Confirmed,24.5,2.5,2.5,,,,,,,,,,52.0,6.0,6.0,,,,,,,,2013,2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"WISE J012251.02-243952.0 b, 2M 0122-24 b",,2MASS J01225093-2439505,20.712243,-24.664049,,,10.084,9.47,,36.0,4.0,4.0,,,,0.4,0.05,0.05,,,,M3.5 V,0.12,-0.01,-0.01,3530.0,50.0,50.0,,,WISE J012251.02-243952.0
2MASS J0153-6744,Confirmed,17.0,2.0,2.0,,,,1.48,0.03,0.03,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664.0,53.0,53.0,,,,,,4.26,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J01531463-6744181,,,28.3109600048768,-67.7383880187104,,,,,,66.2,11.0,11.0,,,,,,,,,,,,,,,,,,,
2MASS J0326-2102,Confirmed,18.0,4.0,4.0,,,,1.32,0.06,0.06,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359.0,46.0,46.0,,,,,,4.37,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J03264225-2102057,,,51.6760710140857,-21.0349370019496,,,,,,41.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
2MASS J0342-6817,Confirmed,17.0,2.0,2.0,,,,1.48,0.03,0.03,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650.0,51.0,51.0,,,,,,4.26,Published in a refereed paper,Imaging,Spectrum,Flux,2MASSI J0342162-681732,,,55.5675520054042,-68.2922520128016,,,,,,81.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2MASS J0348-6022,Confirmed,43.0,18.0,18.0,,,,0.91,0.1,0.1,,,,,,,,,,,,,,2021,2021-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,880.0,110.0,110.0,,,,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,2MASS J03480772-6022270,,,57.0321710025737,-60.374183902236,,,,,,9.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2MASS J0407+1546,Confirmed,67.0,28.0,28.0,,,,0.97,0.8,0.8,,,,,,,,,,,,,,2021,2021-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840.0,210.0,210.0,,,,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,,,,61.7813608341355,15.7793166834808,,,,,,36.4421,2.3553,2.3553,,,,,,,,,,,,,,,,,,,
2MASS J0447-1216,Confirmed,51.0,16.0,16.0,,,,1.02,0.07,0.07,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1521.0,139.0,139.0,,,,,,5.05,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J04473039-1216155,,,71.876650010132,-12.27098334212,,,,,,27.7,2.9,2.9,,,,,,,,,,,,,,,,,,,
2MASS J0459-2853,Confirmed,8.0,1.0,1.0,,,,1.32,0.03,0.03,,,,,,,,,,,,,,,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.0,98.0,98.0,,,,,,4.06,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J04590034-2853396,,,14.7514490001159,-28.8943460264768,,,,,,38.0,8.0,8.0,,,,,,,,,,,,,,,,,,,
2MASS J0506+5236,Confirmed,26.0,7.0,7.0,,,,1.05,0.08,0.08,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065.0,63.0,63.0,,,,,,4.74,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J05065012+5236338,,,76.708850016708,52.60940835286,,,,,,17.6,1.6,1.6,,,,,,,,,,,,,,,,,,,
2MASS J0642+4101,Confirmed,12.0,1.0,1.0,,,,1.23,0.0,0.0,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124.0,11.0,11.0,,,,,,4.28,Published in a refereed paper,Imaging,,,,,,100.523300001864,41.0333330136664,,,,,,16.1,1.9,1.9,,,,,,,,,,,,,,,,,,,
2MASS J0718-6415,Confirmed,3.0,1.0,1.0,,,,1.29,0.02,0.02,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.0,32.0,32.0,,,,,,3.57,Published in a refereed paper,Imaging,,,,,,109.536310002905,-64.2586360119088,,,,,,9.34,0.86,0.86,,,,,,,,,,,,,,,,,,,
2MASS J0809+4434,Confirmed,13.0,8.0,8.0,,,,1.35,0.11,0.11,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253.0,74.0,74.0,,,,,,4.12,Published in a refereed paper,Imaging,Spectrum,Flux,,,,122.495993019679,44.572670016136,,,,,,25.0,5.0,5.0,,,,,,,,,,,,,,,,,,,
2MASS J0850+1057 b,Confirmed,26.0,4.0,4.0,,,,1.15,0.06,0.06,,,,,,,,,,,,,,2021,2023-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,,2MASS J0850+1057,132.650000012,10.954444467,,,,,,,,,,,,,,,,,,L6.5,,,,,,,,,
2MASS J0951-8023,Confirmed,15.0,2.0,2.0,,,,1.45,0.05,0.05,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1463.0,65.0,65.0,,,,,,4.22,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J09512690-8023553,,,147.8620833423,-80.3986944644,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J10475385+2124234,Confirmed,42.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,1999,2020-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,2MASS J1047+21,,,161.974394017952,21.4065190132152,,,,,,10.56,,,,,,,,,,,,,,,,,,,,,
2MASS J11011926-7732383 A,Confirmed,50.0,,,,,,,,,,,,,,,,,,,,,,2004,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,165.330275006,-77.5439750192,,,,,,168.0,10.0,10.0,,,,,,,,,,,,,,,,,,,
2MASS J11011926-7732383 B,Confirmed,30.0,,,,,,,,,,,,240.0,,,,,,,,,,2004,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,165.330275006,-77.5439750192,,,,,,168.0,10.0,10.0,,,,,,,,,,,,,,,,,,,
2MASS J1119-1137 b,Confirmed,3.7,0.9,0.9,,,,,,,32850.0,,,,,,,,,,,,,2017,2022-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,TWA 42 b,,2MASS J1119-1137,169.885595844,-11.6296389116,,,,,14.62,,,,,,,,,,,,,L7,0.01,0.003,0.003,,,,,,
2MASS J1155-7919 b,Confirmed,10.0,,,,,,,,,,,,582.0,,,,,,,,,,2020,2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1155-7919,178.769,-79.32,14.0,,,,,101.15,0.5,0.5,,,,,,,,,,M3,0.005,,,,,,,,
2MASS J1219+3128,Confirmed,49.0,25.0,25.0,,,,0.97,0.13,0.13,,,,,,,,,,,,,,2021,2021-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330.0,140.0,140.0,,,,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,,,,184.964836017187,31.4804760203808,,,,,,19.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
2MASS J1450-7841 A,Confirmed,40.0,,,,,,,,,,,,300.0,,,,,,,,,,2017,2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1450-7841 B,222.670833347,-78.693888911,,,,,,75.0,25.0,25.0,,,,0.04,,,,,,M9p,,,,,,,,,
2MASS J1450-7841 B,Confirmed,40.0,,,,,,,,,,,,300.0,,,,,,,,,,2017,2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1450-7841 A,222.675000014,-78.694722245,,,,,,75.0,,,,,,0.04,,,,,,M8p,,,,,,,,,
2MASS J1551+0941,Confirmed,24.0,14.0,14.0,,,,1.39,0.19,0.19,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653.0,126.0,126.0,,,,,,4.41,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J15515237+0941148,,,237.96824601746,9.6874690169752,,,,,,64.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2MASS J155947+440359 b,Confirmed,43.0,9.0,9.0,,,,,,,,,,1101.23,66.35,66.35,,,,,,,,2012,2021-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J155947+440359,239.945833349,44.066666681,11.8,,,,,44.76,0.4,0.4,,,,,,,,,,M2.0V,,,,,,,,,
2MASS J1647+5632,Confirmed,18.0,6.0,6.0,,,,1.22,0.07,0.07,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244.0,47.0,47.0,,,,,,4.45,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J16471580+5632057,,,251.815856005268,56.5349240119392,,,,,,20.2,,,,,,,,,,,,,,,,,,,,,
2MASS J1741-4642,Confirmed,26.0,3.0,3.0,,,,1.23,0.02,0.02,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471.0,44.0,44.0,,,,,,4.63,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J17410280-4642218,,,265.261694001,-46.7060700189,,,,,,19.8,0.1,0.1,,,,,,,,,,,,,,,,,,,
2MASS J18071593+5015316,Confirmed,16.02,0.57,0.57,,,,,,,,,,,,,,,,,,,,2003,2022-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,271.816406477643,50.2587880091804,,,,,,14.606,0.0208,0.0208,,,,,,,,,,,,,,,,,,,
2MASS J2002-0521,Confirmed,13.0,8.0,8.0,,,,1.36,0.11,0.11,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1301.0,56.0,56.0,,,,,,4.14,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J20025073-0521524,,,300.711297931718,-5.36460626791111,,,,,,17.6316,0.4607,0.4607,,,,,,,,,,,,,,,,,,,
2MASS J2117-2940,Confirmed,7.0,2.0,2.0,,,,1.38,0.05,0.05,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192.0,80.0,80.0,,,,,,3.95,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J21171431-2940034,,,319.309633338104,-29.66761668076,,,,,,16.9,1.7,1.7,,,,,,,,,,,,,,,,,,,
2MASS J2139+02,Confirmed,16.2,8.8,8.8,,,,1.14,0.11,0.11,,,,,,,,,,,,,,2003,2023-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.0,60.0,60.0,,,,,,4.27,Published in a refereed paper,Imaging,,,2MASS J21392676+0220226,"C, CH4, CO, CO2, CrH, Fe, FeH, H2O, Mg2SiO4, NH3, O, SiO",,324.861539008923,2.3396380117104,,,,,,10.4,0.2,0.2,,,,,,,,,,,,,,,,,,,
2MASS J2154-1055,Confirmed,33.0,4.0,4.0,,,,1.17,0.03,0.03,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.0,31.0,31.0,,,,,,4.76,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J21543454-1055308,,,328.643928011514,-10.9252340251872,,,,,,31.1,1.1,1.1,,,,,,,,,,,,,,,,,,,
2MASS J2206+3301,Confirmed,8.0,1.0,1.0,,,,1.3,0.02,0.02,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1076.0,37.0,37.0,,,,,,4.03,Published in a refereed paper,Imaging,Spectrum,Flux,,,,331.605012508401,33.02067778132,,,,,,34.4,3.7,3.7,,,,,,,,,,,,,,,,,,,
2MASS J2206-4217,Confirmed,32.0,3.0,3.0,,,,1.22,0.02,0.02,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684.0,46.0,46.0,,,,,,4.72,Published in a refereed paper,Imaging,Spectrum,Flux,"2MASSW J2206450-421721, 2MASS J2206450-421721",,,331.687491732339,-42.2892127397994,,,,,,29.5966,-1.4941,-1.4941,,,,,,,,,,,,,,,,,,,
2MASS J2250+2325 b,Confirmed,30.0,4.0,4.0,,,,,,,,,,518.0,40.0,40.0,,,,,,,,2017,2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J2250+2325,342.562500005,23.426111127,,,,,,41.5,10.0,10.0,,,,,,,,,,M3,0.15,,,,,,,,
2MASS J2322-6151,Confirmed,18.0,2.0,2.0,,,,1.5,0.03,0.03,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740.0,43.0,43.0,,,,,,4.27,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J23225299-6151275,,,350.720860412338,-61.8576384993416,,,,,,43.0283,-1.9427,-1.9427,,,,,,,,,,,,,,,,,,,
2MASS J2343-3646,Confirmed,34.0,4.0,4.0,,,,1.22,0.02,0.02,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755.0,53.0,53.0,,,,,,4.74,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J23433470-3646021,,,355.894610011569,-36.7672770158216,,,,,,40.5,2.2,2.2,,,,,,,,,,,,,,,,,,,
2MASSW J2208136+292121,Confirmed,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,2000,2021-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,2M2208+2921,,,332.056794004544,29.3559820117856,,,,,,50.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
2M J2126-81 b,Confirmed,13.3,1.7,1.7,,,,,,,,,,6900.0,,,,,,,,,,2016,2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,TYC 9486-927-1,321.366666676,-81.64111113,9.0,,,,,24.75,4.25,4.25,,,,0.4,,,,,,M2,0.027,0.017,0.017,,,,,,
51 Eri b,Confirmed,2.6,0.3,0.3,,,,1.11,0.13,0.13,10260.0,1800.0,1800.0,11.1,1.3,1.3,0.49,0.15,0.15,136.0,11.0,11.0,,2015,2022-08-30,84.0,58.0,58.0,2452014.79,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,700.0,,,,,,,,3.5,Published in a refereed paper,Imaging,Spectrum,,,"CH4, H2O",51 Eri,69.4005514287,-2.47354859817,5.223,,,,,29.4,0.3,0.3,-0.027,,,1.75,0.05,0.05,,,,F0IV,0.02,0.006,0.006,,,,IR Excess,,
AB Aur b,Confirmed,9.0,15.0,15.0,,,,,,,,,,93.9,50.0,50.0,0.4,0.2,0.2,42.6,15.0,15.0,0.708333,2008,2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,AB Aur,73.9416667,30.5511111,7.06,,,,,144.0,,,,,,2.4,0.2,0.2,,,,A0V,0.002,0.001,0.001,,,,,,
AB Dor C b,Confirmed,13.0,1.0,1.0,,,,,,,,,,0.58,,,,,,,,,,2019,2019-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,AB Dor C,82.433333348,-65.448333354,,,,,,15.8,,,,,,0.072,0.013,0.013,,,,M8,,,,,,,,,
AB Pic b,Confirmed,13.5,0.5,0.5,,,,1.75,0.1,0.1,,,,275.0,,,,,,,,,5.813953,2005,2022-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750.0,,,,,,Published in a refereed paper,Imaging,,,,,AB Pic,94.8,-58.0541667,9.16,,,,,47.3,1.8,1.8,0.04,0.02,0.02,,,,,,,K2 V,0.03,,,5285.0,9.0,9.0,,,
AF Lep b,Confirmed,2.8,0.6,0.6,,,,1.33,0.6,0.6,8145.0,2450.0,2450.0,8.2,1.7,1.7,0.04,0.4,0.4,55.0,13.0,13.0,,2023,2023-09-07,46.4,9.0,9.0,2459606.0,360.0,360.0,,,,,,,,,,,,,,,,,,,,,,,,,800.0,,,,,,Published in a refereed paper,Imaging,Radial Velocity,Theoretical,,,AF Lep,81.770833335,-11.90111113,6.3,,,,,26.843,0.014,0.014,0.19,0.02,0.02,1.2,0.06,0.06,1.25,0.06,0.06,F8V,0.024,0.003,0.003,6130.0,60.0,60.0,,,
b Cen b,Confirmed,10.9,1.6,1.6,,,,,,,1800000.0,825000.0,825000.0,556.0,17.0,17.0,0.4,0.4,0.4,143.0,15.0,15.0,,2021,2021-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,b Cen,220.491666686,-37.793611135,4.0,,,,,99.7,3.1,3.1,,,,5.5,0.5,0.5,,,,B3V,0.015,0.002,0.002,,,,,,
BD+60 1417 b,Confirmed,15.0,5.0,5.0,,,,1.31,0.06,0.06,,,,1662.0,,,,,,,,,,2021,2021-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,,BD+60 1417,190.8875,69.0144,,,,,,44.957,0.027,0.027,,,,1.0,,,0.797,0.051,0.051,,0.1,0.05,0.05,4993.0,124.0,124.0,,,
beta Cir b,Confirmed,56.0,7.0,7.0,,,,,,,,,,6656.0,,,,,,,,,,2015,2015-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2084.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,bet Cir b,,beta Cir,229.379166677,-58.801111128,,,,,,30.56,0.18,0.18,,,,1.96,0.001,0.001,,,,A3V,0.367,,,8676.0,33.0,33.0,,,bet Cir
beta Pic b,Confirmed,11.9,3.04,3.04,,,,1.65,0.06,0.06,7707.0,300.0,300.0,9.93,0.03,0.03,0.103,0.003,0.003,89.0,0.02,0.02,0.440415,2008,2022-07-07,199.3,3.1,3.1,2456380.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Radial Velocity,Flux,bet Pic b,"C, CO, H, H2O, N, O I",beta Pic,86.8208333,-51.0663889,3.86,,,,,19.3,0.2,0.2,,,,1.73,0.05,0.05,1.8,,,A6V,0.04,0.004,0.004,8052.0,,,Imaging,,bet Pic
CD-35 2722 b,Confirmed,31.0,8.0,8.0,,,,,,,,,,67.0,4.0,4.0,,,,,,,3.14554,2011,2011-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CD-35 2722,92.3300429231,-35.8253322455,10.98,,,,,21.3,1.4,1.4,0.04,0.5,0.5,0.4,0.05,0.05,,,,M1V,0.1,0.05,0.05,3680.0,100.0,100.0,,,
CFBDS0059,Confirmed,22.5,17.5,17.5,,,,,,,,,,,,,,,,,,,,2008,2018-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,CFBDS J005910.90-011401.3,,,14.7954291703,-1.23364722714,,,,,,13.0,5.0,5.0,,,,,,,,,,,,,,,,,,,
CFBDSIR J145829+101343 b,Confirmed,10.5,4.5,4.5,,,,,,,10037.5,2737.5,2737.5,2.6,0.3,0.3,,,,,,,,2011,2023-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,40.0,40.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,CFBDSIR J145829+101343,224.620833,10.228611,,,,,,23.1,2.4,2.4,,,,0.02,0.01,0.01,,,,,,,,580.5,24.5,24.5,,,
CFBDSIR J2149-0403 b,Confirmed,21.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,2017,2018-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CFBDSIR J2149-0403,327.446666682,-4.0524722252,,,,,,55.2,5.4,5.4,,,,,,,,,,T7,,,,,,,,,
CHXR 73 b,Confirmed,12.0,5.0,5.0,,,,,,,,,,200.0,,,,,,,,,,2006,2014-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CHXR 73,166.6208333,-77.6258333,,,,11.32,,,,,,,,0.35,0.0,0.0,,,,M3.25,0.002,,,,,,,,
COCONUTS-2 b,Confirmed,6.4,2.0,2.0,,,,1.12,0.04,0.04,,,,6471.0,,,,,,,,,594.0,2021,2021-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.0,,,,,4.1,Submitted to a professional journal,Imaging,Spectrum,Flux,WISEPA J075108.79-763449.6 b,,COCONUTS-2A,117.304166671,-76.70194446,11.3,,,,,10.89,0.002,0.002,0.0,0.08,0.08,0.37,0.02,0.02,0.388,0.011,0.011,M3,0.475,0.325,0.325,3406.0,69.0,69.0,,,WISEPA J075108.79-763449.6
COCONUTS-3 b,Confirmed,39.0,18.0,18.0,,,,1.03,0.06,0.06,,,,1891.0,1.6,1.6,,,,,,,,2022,2022-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,,COCONUTS-3,123.329166673,-15.377777794,15.0,,,,,30.88,0.02,0.02,,,,,,,,,,M5.5,0.5,0.4,0.4,2966.0,85.0,85.0,,,
CT Cha b,Confirmed,17.0,6.0,6.0,,,,2.2,0.6,0.6,,,,440.0,,,,,,,,,2.666667,2008,2008-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CT Cha,166.0375,-76.4552778,12.36,,,,,165.0,30.0,30.0,,,,,,,,,,K7,0.002,0.002,0.002,,,,,,
CWISE 0146-0508A b,Confirmed,66.0,10.0,10.0,,,,,,,,,,129.0,,,,,,,,,,2022,2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340.0,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,CWISE 0146-0508A,26.5467046,-5.1472375,,,,,,41.0,5.0,5.0,,,,0.072,0.006,0.006,,,,L4,5.0,0.45,0.45,1720.0,150.0,150.0,,,
CWISE J050626.96+073842.4,Confirmed,7.0,2.0,2.0,,,,1.32,0.03,0.03,,,,,,,,,,,,,,2023,2023-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140.0,80.0,80.0,,,,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,CWISE J0506+0738,,,76.61225000898,7.6454444668,,,,,,32.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
CWISEP J144606.62-231717.8,Confirmed,11.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,2019,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.0,25.0,25.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,CW1446,,,221.52758333554,-23.2882777874,,,,,,10.1,1.3,1.3,,,,,,,,,,,,,,,,,,,
CWISEP J1935-1546,Confirmed,11.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,2019,2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.0,,,,,,Published in a refereed paper,Imaging,,,,,,293.827793,-15.7723462,,,,,,10.1,1.3,1.3,,,,,,,,,,,,,,,,,,,
DANCe J15454024-2422072,Confirmed,8.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,2022,2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650.0,90.0,90.0,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,236.41766668008,-24.3686666756,,,,,,145.0,45.0,45.0,,,,,,,,,,,,,,,,,,,
DANCe J15481655-2307430,Confirmed,12.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,2022,2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060.0,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,237.06895833885,-23.128611123,,,,,,145.0,45.0,45.0,,,,,,,,,,,,,,,,,,,
DANCe J15582895-2530319,Confirmed,7.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2022,2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560.0,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,239.62062500965,-25.5088611282,,,,,,145.0,45.0,45.0,,,,,,,,,,,,,,,,,,,
DANCe J16041234-2127472,Confirmed,10.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,2022,2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880.0,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,241.05141667078,-21.4631111306,,,,,,145.0,45.0,45.0,,,,,,,,,,,,,,,,,,,
DANCe J16053908-2403330,Confirmed,11.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,2022,2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970.0,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,,241.41283334636,-24.059166675,,,,,,145.0,45.0,45.0,,,,,,,,,,,,,,,,,,,
